"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.41,0.992,-4.305,0.8,-1.479,-1.596,0,0,0.3
"2",-1.514,1.397,-4.392,0.8,-1.704,-1.687,0.1,0.01,0.23
"3",-1.569,0.983,-4.476,0.8,-1.587,-1.778,0.2,0.01,0.22
"4",-1.675,0.818,-4.554,0.8,-1.707,-1.869,0.3,0.02,0.2
"5",-1.735,0.829,-4.62,0.8,-1.797,-1.956,0.4,0.02,0.2
"6",-1.731,1.488,-4.691,0.8,-1.755,-2.05,0.5,0.01,0.19
"7",-1.775,0.935,-4.75,0.8,-1.823,-2.137,0.6,0.01,0.19
"8",-1.891,1.254,-4.798,0.8,-1.903,-2.229,0.7,0.03,0.19
"9",-1.92,0.884,-4.849,0.8,-1.851,-2.322,0.8,0.03,0.19
"10",-2.025,1.154,-4.904,0.8,-2.011,-2.413,0.9,0.05,0.18
"11",-2.02,1.088,-4.935,0.8,-2.091,-2.5,1,0.04,0.19
