"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.28,1.016,-4.318,0.8,-1.339,-1.42,0,0.04,0.958
"2",-1.302,1.053,-4.387,0.8,-1.403,-1.422,0.1,0.04,0.948
"3",-1.284,1.398,-4.44,0.8,-1.366,-1.425,0.2,0.04,0.917
"4",-1.311,2.522,-4.496,0.8,-1.505,-1.427,0.3,0.05,0.884
"5",-1.324,1.946,-4.561,0.8,-1.486,-1.429,0.4,0.05,0.884
"6",-1.439,1.291,-4.594,0.8,-1.331,-1.431,0.5,0.07,0.871
"7",-1.424,1.963,-4.652,0.8,-1.418,-1.432,0.6,0.07,0.849
"8",-1.466,1.434,-4.685,0.8,-1.573,-1.434,0.7,0.08,0.815
"9",-1.511,19.349,-4.728,0.8,-1.423,-1.436,0.8,0.11,0.82
"10",-1.552,1.684,-4.781,0.8,-1.349,-1.437,0.9,0.12,0.875
"11",-1.446,5.422,-4.803,0.8,-1.539,-1.438,1,0.11,0.899
