"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1"
"0",NA,1.64103780487406,0.337963930079008,0.00372107699324465,0.385401363710127,0.0701359785119488,0.00176377499290286,0.0245498813696839,NA,0.1012,-1.9121486147158,0.36394725049634,0.00135464384962311,0.354779543565849,-1.70164599762498,0.366781662437336,0.00254458500515895,0.35282979212952,0
"0.1",NA,3.52528610872587,0.32626271877861,0.00250034920122831,0.387928485319098,0.0528967385085972,0.00116845348365531,0.0197996315823443,NA,0.1694,-1.98669887211114,0.389971445863447,0.0014429080158807,0.379450591631034,-1.79346378535938,0.380226354751325,0.0023298127701353,0.366223633391876,0.1
"0.2",NA,2.65322177047177,0.382795031085344,0.00151133224066419,0.368230960655651,0.0332508645090066,0.000596334201201839,0.0111934973436561,NA,0.3324,-2.00832120604323,0.382132551300481,0.0015098988268442,0.370882599406673,-1.88220949089018,0.390241877570074,0.00211463745383902,0.376352937124086,0.2
"0.3",-3.15219465235242,1.00656946298671,0.389067931564617,0.00126208912766042,0.359496517349937,0.0266777530454235,0.000449245465377279,0.00885594573581457,NA,0.4277,-2.06773895783144,0.373223529977008,0.00138138455121138,0.362301025933833,-1.9764299976638,0.396535966045686,0.00189145434716695,0.382885467742661,0.3
"0.4",-3.39139070424694,0.828419373963506,0.385698366408173,0.00111970058534306,0.352091611194357,0.0242680019166266,0.000379739071143014,0.00798074500691278,-3.72368333424199,0.4791,-2.15628465214744,0.366533184227013,0.00122122817534711,0.355983017053649,-2.06644973310815,0.398922333786082,0.0016787393983271,0.385665768980949,0.4
"0.5",-3.26248631152845,0.810101389704417,0.363215527103837,0.00104982061561706,0.334850131230352,0.0197314143269988,0.000335251890206253,0.00650553446359618,NA,0.5874,-2.16575842790287,0.347463645243664,0.00114144098062592,0.33750889438744,-2.15711431534393,0.397329831578688,0.00147878166531144,0.384544061179341,0.5
"0.6",-2.91369437230788,0.963687048597902,0.334096943479197,0.000994806926592482,0.31411409343596,0.0161415437579696,0.000301883203635632,0.00534487413093074,NA,0.7057,-2.14718366323481,0.324636948324094,0.0010844600012271,0.315353195802504,-2.24756394911581,0.391805971182121,0.00128761951533884,0.379619101387704,0.6
"0.7",-2.4104876621276,1.34875480768928,0.305106626796682,0.000948509315140792,0.292850744385781,0.0132773824336064,0.000273868462758571,0.00443705407506503,NA,0.8243,-2.11628056342891,0.301529983899649,0.00103702448059637,0.292922465106877,-2.33621937679095,0.382514570662924,0.00111257431788982,0.371008256846595,0.7
"0.8",-1.78554429437351,2.19779080846055,0.28299968938059,7458025129527117,0.27563259448253,0.011657826705015,1321404201972537,0.00396211374364118,NA,0.9116,-2.11119315511994,0.283408460293692,0.000974095321781568,0.275364294831842,-2.42757001394922,0.369727684111432,0.00094864566055062,0.358978282575747,0.8
"0.9",-1.57224260526365,3.9661692414022,0.281186668543802,0.000801310103491369,0.271570536858788,0.0138611587655548,0.0002566053212029,0.00475919268664149,NA,0.8742,-2.2443641841454,0.280702901145433,0.000826240137355726,0.272907808718684,-2.51805172366521,0.35381237049778,0.000802235995259296,0.343861109588502,0.9
"1",NA,60.3871455390003,0.268873793278391,0.000765751018880363,0.261727279632537,0.0148873872861749,0.000270663646535057,0.00513772333688698,NA,0.8736,-2.3391386383363,0.271785334171453,0.000715698519126095,0.264361895556922,-2.61005071514078,0.335213199487106,0.000670113589708631,0.326099828529984,1
