"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"0",-1.49822521453,0.93045352970539,0.295917103318266,0.00228390805689741,0.284759697642548,0.00489096142192337,0.000451301599035699,0.00314669216210371,-4.36704166610847,0.8,-1.55776531143245,0.295986518883464,0.00235913451282164,0.284875045276718,-1.70440861151276,0.366781662437336,0.00253913353833831,0.352821168099768,0,0.04,0.27,0.206183396982767,0.686461577456168,-0.728945808695364,3.68016868874635,1,0.979166666666667
"0.1",-1.55349044346946,0.888202905711961,0.302402156720691,0.00216506762461623,0.29126281248886,0.00485232456663088,0.000435750427560467,0.00311570920307128,-4.45564842066386,0.8,-1.66751429659652,0.30198108962887,0.00209947057726538,0.290920928254158,-1.79327405112895,0.380226354751325,0.00232971487359157,0.366226878204981,0.1,0.04,0.25,0.239783607659492,0.667329848244504,-0.7891316753921,3.48054875747766,0.989583333333333,0.989583333333333
"0.2",-1.60522759441771,0.945348819360774,0.307136562125334,0.00203958474708215,0.296058253750146,0.00482282542644401,0.000419165577901105,0.00309044125671592,-4.55270747859735,0.8,-1.74548669588692,0.30771905887327,0.00193802430906867,0.296947213953884,-1.88427062571605,0.390241877570074,0.00210843308381458,0.376365115008583,0.2,0.04,0.24,0.279043031298339,0.658004517038706,-0.788746191084099,2.92986182664183,0.989583333333333,0.979166666666667
"0.3",-1.6109324129183,0.949793585795305,0.310104865738956,0.00191054600146233,0.299148376345756,0.00480330857332835,0.000402063217856726,0.00306997439421444,-4.62510672734211,0.8,-1.7371678303602,0.310031822624662,0.0018889468217275,0.299469546983083,-1.97182126124209,0.396535966045686,0.0019015622809548,0.382875621692675,0.3,0.02,0.24,0.360888848323784,0.721432510020694,-0.737089868846365,3.02659598476749,1,0.959183673469388
"0.4",-1.59782519283264,3.6716175020709,0.311185378960753,0.00177968759280611,0.300445941482785,0.00479592472212079,0.000384306685493434,0.003063975176346,-4.71169767536594,0.8,-1.7152294358067,0.31185328465724,0.00186885463927134,0.301555181804275,-2.06301207914406,0.398922333786082,0.00168780187989292,0.385639943773296,0.4,0.02,0.24,0.46518688631142,1.00661275369011,-0.701067263577277,6.64985396511607,1,0.908163265306122
"0.5",-1.78781585715253,1.03268296113314,0.31034529889987,0.00164797943730529,0.299906468949413,0.00479871904940093,0.000366202617928443,0.00306757711667651,-4.75951616029476,0.8,-1.8716941023049,0.310255615332415,0.0015838123204511,0.299998191521035,-2.15616048003745,0.397329831578688,0.00147857702867671,0.384558018516683,0.5,0.05,0.23,0.368344622884915,0.615861200503996,-0.675965623221103,2.61186360462118,0.989473684210526,0.947368421052632
"0.6",-1.84378880258608,0.92846772998686,0.307724057596881,0.00151539877831815,0.297579370097539,0.00481250923931992,0.000347650494710031,0.00308288406457886,-4.83149037701646,0.8,-1.86577586970065,0.307802184281191,0.00158524418584898,0.29761861237989,-2.24450819058211,0.391805971182121,0.00129343151574457,0.379601443957336,0.6,0.05,0.2,0.400719387996039,0.619908477445285,-0.635003151420333,2.78253223561312,1,0.936842105263158
"0.7",-1.87841145623252,0.971765380048463,0.303208364352688,0.00138553913983244,0.293511520788119,0.00484040704817818,0.000328977366804912,0.00310643743086876,-4.88980737392943,0.8,-1.96044008317966,0.303733458771103,0.00135856918055626,0.294168633755614,-2.33600121729422,0.382514570662924,0.00111173953985899,0.371019398228279,0.7,0.05,0.29,0.457589761061698,0.642841342506468,-0.621798048319319,2.53815747572324,1,0.968421052631579
"0.8",-1.90028090710108,1.47196356731364,0.296999974722147,0.0012605685787204,0.287680142740243,0.0048785190279814,0.000309867918685518,0.00313543790951768,-4.96025722834376,0.8,-2.03361550036926,0.297290266560157,0.00129541874393456,0.287680326082004,-2.42671087792417,0.369727684111432,0.000949808516633658,0.358974348436526,0.8,0.05,0.29,0.526429970823086,0.723326539666583,-0.601854227514529,2.95886295871269,1,0.957894736842105
"0.9",-1.8898063398236,1.6775362104802,0.289059186294782,0.00113928985383826,0.28031198884899,0.00492188754236594,0.000290813022331881,0.003164790260852,-5.02030378922783,0.8,-2.20065249454459,0.289193827611392,0.000990511624819152,0.280348727162219,-2.52222789795789,0.35381237049778,0.000798669383185822,0.343863891341677,0.9,0.05,0.3,0.632421558134295,0.84127369462458,-0.663528587014734,4.01274627462104,1,0.968421052631579
"1",-2.05618822731748,2.3404802850366,0.279718319345052,0.00102356124365845,0.271469819966186,0.00496346102370383,0.000271704425023202,0.00319182887053623,-5.07777645766459,0.8,-2.18185315248061,0.280706629105225,0.000989281974120418,0.272070020462074,-2.61024345544366,0.335213199487106,0.000670508486130687,0.326092700322727,1,0.1,0.3,0.554055228126187,0.684670522803125,-0.792513718186743,3.18378837748511,0.988888888888889,0.944444444444444
